rank,track_name,artist_name,listeners,mbid,url,date,country
89,The Subway,Chappell Roan,19083,1239f0bf-6874-4ea4-ac0e-8c1c0207eb7f,https://www.last.fm/music/Chappell+Roan/_/The+Subway,2026-04-19,Brazil
90,Telefone,Luísa Sonza,18860,fa839926-fb9c-4b4e-8a50-365cdbe8d0d1,https://www.last.fm/music/Lu%C3%ADsa+Sonza/_/Telefone,2026-04-19,Brazil
91,Go Go Juice,Sabrina Carpenter,18742,3d44ba6d-38ff-4a6e-9697-ab982f961abb,https://www.last.fm/music/Sabrina+Carpenter/_/Go+Go+Juice,2026-04-19,Brazil
92,No. 29,BTS,18710,7cac948e-4228-4799-9c8b-e9df276639f1,https://www.last.fm/music/BTS/_/No.+29,2026-04-19,Brazil
93,BIRDS OF A FEATHER,Billie Eilish,18657,13961e1f-a0aa-4ae4-9db2-627180a0b39b,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER,2026-04-19,Brazil
94,Creep,Radiohead,18652,012e70cd-4ef6-37bf-8ebf-02d318fe5151,https://www.last.fm/music/Radiohead/_/Creep,2026-04-19,Brazil
95,Dreams - 2004 Remaster,Fleetwood Mac,18635,248cc9d1-97ea-493e-84d4-4c5ec718683b,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster,2026-04-19,Brazil
96,deja vu,Olivia Rodrigo,18618,096e37da-66c3-4571-86cb-b0790d71a711,https://www.last.fm/music/Olivia+Rodrigo/_/deja+vu,2026-04-19,Brazil
97,CANNIBALISM!,Slayyyter,18399,7bed7bf7-72cf-4432-aa08-3767144fd2a7,https://www.last.fm/music/Slayyyter/_/CANNIBALISM%21,2026-04-19,Brazil
98,Baby,Justin Bieber,18393,0182dbdf-7636-4a1a-87f8-8a4329ff0fcb,https://www.last.fm/music/Justin+Bieber/_/Baby,2026-04-19,Brazil
99,All I Wanted,Paramore,18339,013c6618-aac8-335c-b45f-2b39ed6f47ae,https://www.last.fm/music/Paramore/_/All+I+Wanted,2026-04-19,Brazil
100,Loira Gelada,Luísa Sonza,18095,ab70732f-502f-44c3-aeab-29fc164d478d,https://www.last.fm/music/Lu%C3%ADsa+Sonza/_/Loira+Gelada,2026-04-19,Brazil
