date,artist_name,track_name,track_playcount,track_listeners,track_rank
2026-04-22,Julliany Souza,Eu e Minha Casa,31840,5427,5
2026-04-22,Julliany Souza,Yeshua,19952,5083,6
2026-04-22,Julliany Souza,Casinha Favorita,16311,3737,7
2026-04-22,Julliany Souza,Canção Que Não Envelhece,23747,3431,8
2026-04-22,Julliany Souza,Meu Carpinteiro,11422,2299,9
2026-04-22,Julliany Souza,A Maior Honra,7540,1968,10
2026-04-22,Júnior e Cézar,Clone,110657,17915,1
2026-04-22,Júnior e Cézar,Cheiro De Culpado - Ao Vivo,84368,12576,2
2026-04-22,Júnior e Cézar,Clone - Ao Vivo,13157,3492,3
2026-04-22,Júnior e Cézar,Golzinho Quadrado - Ao Vivo,25356,3480,4
2026-04-22,Júnior e Cézar,Devolve,14917,2920,5
2026-04-22,Júnior e Cézar,Picuinha - Ao Vivo,17311,1670,6
2026-04-22,Júnior e Cézar,Na Marra Ou Na Garrafa - Ao Vivo,4664,1379,7
2026-04-22,Júnior e Cézar,Devolve - Ao Vivo,4415,1228,8
2026-04-22,Júnior e Cézar,Das Duas Uma - Ao Vivo,2648,1024,9
2026-04-22,Júnior e Cézar,Fraquinho De Aparência - Ao Vivo,2865,845,10
2026-04-22,Léo Santana,"Desliza (""Ólhinho"" No Corpinho)",1174985,154401,1
2026-04-22,Léo Santana,Zona De Perigo,146831,55300,2
2026-04-22,Léo Santana,Surra De Toma - Ao Vivo,173911,48849,3
2026-04-22,Léo Santana,Posturado e calmo,137383,47713,4
2026-04-22,Léo Santana,Contatinho - Ao Vivo,114531,41554,5
2026-04-22,Léo Santana,Santinha - Ao Vivo,60491,24878,6
2026-04-22,Léo Santana,Marquinha De Fitinha - Ao Vivo,71245,23680,7
2026-04-22,Léo Santana,Posso Beijar Sua Boca ?,74173,17514,8
2026-04-22,Léo Santana,Cama Repetida,40958,15904,9
2026-04-22,Léo Santana,Solinho Da Rabeta,30447,12230,10
2026-04-22,Mari Fernandez,Comunicação Falhou - Ao Vivo,591324,75350,1
2026-04-22,Mari Fernandez,Parada Louca,443697,69546,2
2026-04-22,Mari Fernandez,"Não, Não Vou",354762,58578,3
2026-04-22,Mari Fernandez,Página De Ex - Ao Vivo,402829,38279,4
2026-04-22,Mari Fernandez,Love Absurdo,160571,32846,5
2026-04-22,Mari Fernandez,Saudade do Carai,211864,31783,6
2026-04-22,Mari Fernandez,Deixa Eu Viver - Ao Vivo,237267,30419,7
2026-04-22,Mari Fernandez,Pode Apostar - Ao Vivo,158315,26577,8
2026-04-22,Mari Fernandez,Intuição - Ao Vivo,162666,24808,9
2026-04-22,Mari Fernandez,Só de Imaginar - Ao Vivo,156596,24640,10
2026-04-22,Marina Sena,Por Supuesto,4804916,305118,1
2026-04-22,Marina Sena,Numa Ilha,5853393,270109,2
2026-04-22,Marina Sena,Lua Cheia,5870773,251948,3
2026-04-22,Marina Sena,CARNAVAL,4268640,221561,4
2026-04-22,Marina Sena,Desmitificar,4747719,213210,5
2026-04-22,Marina Sena,Coisas Naturais,3180749,190127,6
2026-04-22,Marina Sena,Tudo Pra Amar Você,4348080,187689,7
2026-04-22,Marina Sena,Dano Sarrada,3241935,187413,8
2026-04-22,Marina Sena,Voltei Pra Mim,3614396,184554,9
2026-04-22,Marina Sena,Que Tal,3522650,170125,10
2026-04-22,Marquinho no Beat,Intenção,47984,8354,1
2026-04-22,Marquinho no Beat,Imaginar,45071,8330,2
2026-04-22,Marquinho no Beat,Deu Match,6007,2773,3
2026-04-22,Marquinho no Beat,Tudo de Novo,10766,1277,4
2026-04-22,Marquinho no Beat,Tenho Que Me Decidir - Remix,3238,1258,5
2026-04-22,Marquinho no Beat,Paciência,6611,1047,6
2026-04-22,Marquinho no Beat,Vida de Fama,5270,996,7
2026-04-22,Marquinho no Beat,Na Onda,3907,964,8
2026-04-22,Marquinho no Beat,Topless,5381,955,9
2026-04-22,Marquinho no Beat,Inevitável,5262,909,10
2026-04-22,Mc Brinquedo,Roça Roça 2,66677,21920,1
2026-04-22,Mc Brinquedo,Nois é Debochado,194009,18845,2
2026-04-22,Mc Brinquedo,Não é Só o Nome,175712,17200,3
2026-04-22,Mc Brinquedo,Roça Roça,34454,12218,4
2026-04-22,Mc Brinquedo,Fazendo Acontecer,54917,8228,5
2026-04-22,Mc Brinquedo,SET DJ PEDRO 4.0 - Versão 1,40640,6718,6
2026-04-22,Mc Brinquedo,Complexo,28280,5815,7
2026-04-22,Mc Brinquedo,Set Dj Pedro,27796,5389,8
2026-04-22,Mc Brinquedo,Demais,34036,5150,9
2026-04-22,Mc Brinquedo,Entre Loucuras e Farturas,23829,4841,10
2026-04-22,Mc Don Juan,Amar Amei,645799,141186,1
2026-04-22,Mc Don Juan,A Gente Brigou,450471,103707,2
2026-04-22,Mc Don Juan,EU VOU COM CARINHO ELA QUER COM FORÇA,676903,95501,3
2026-04-22,Mc Don Juan,Oh Novinha,345853,94929,4
2026-04-22,Mc Don Juan,Calendário do Papai,351555,74325,5
2026-04-22,Mc Don Juan,Coração Amoleceu,489986,72558,6
2026-04-22,Mc Don Juan,Se Eu Tiver Solteiro,233451,64402,7
2026-04-22,Mc Don Juan,Preta do Cabelo Cacheado,246836,54936,8
2026-04-22,Mc Don Juan,To Gostando Tanto de Você,183295,43818,9
2026-04-22,Mc Don Juan,Lei do retorno,143891,42828,10
2026-04-22,Mc DR,Cemitério de Nave,6111,1171,1
2026-04-22,Mc DR,Só Peço a Deus,5186,1084,2
2026-04-22,Mc DR,Faz Tempo,2247,830,3
2026-04-22,Mc DR,Apaixonado nas Marchas,3037,810,4
2026-04-22,Mc DR,Pai Responsa,1937,722,5
2026-04-22,Mc DR,Diferenciado,3496,654,6
2026-04-22,Mc DR,Set 1.0 Dieguinho Nvi,1955,522,7
2026-04-22,Mc DR,Pião Na Favela,1046,239,8
2026-04-22,Mc DR,Famoso Drake de Rua,488,182,9
2026-04-22,Mc DR,Quer Dindin,270,156,10
2026-04-22,MC GH Original,Seja Bem Vinda no Panta,20150,6756,1
2026-04-22,MC GH Original,É os D Vida,5742,1433,2
2026-04-22,MC GH Original,Festa da Liderança,738,459,3
2026-04-22,MC GH Original,Momentinho Privê,2774,436,4
2026-04-22,MC GH Original,Despertador de Zé Povinho,560,332,5
2026-04-22,MC GH Original,Os Menor Peça,1257,278,6
2026-04-22,MC GH Original,Favelinha,751,244,7
