rank,artist_name,listeners,mbid,url,date,country
86,Dua Lipa,38108,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,https://www.last.fm/music/Dua+Lipa,2026-04-19,Brazil
87,NewJeans,37881,49204a7a-ed85-407a-828f-6fd46f1d8126,https://www.last.fm/music/NewJeans,2026-04-19,Brazil
88,Travis Scott,37836,e4a51f17-a57b-47b1-b37b-f552d0f8e9e6,https://www.last.fm/music/Travis+Scott,2026-04-19,Brazil
89,Pink Floyd,37725,83d91898-7763-47d7-b03b-b92132375c47,https://www.last.fm/music/Pink+Floyd,2026-04-19,Brazil
90,Joji,37479,74922d42-c3ec-4f7d-8a24-20da6eda6ba6,https://www.last.fm/music/Joji,2026-04-19,Brazil
91,Liniker,36545,6c8806e3-9f74-4dd1-9fcb-63352d1ba2a0,https://www.last.fm/music/Liniker,2026-04-19,Brazil
92,The Cure,36314,69ee3720-a7cb-4402-b48d-a02c366f2bcf,https://www.last.fm/music/The+Cure,2026-04-19,Brazil
93,My Chemical Romance,36222,c07f0676-9143-4217-8a9f-4c26bd636f13,https://www.last.fm/music/My+Chemical+Romance,2026-04-19,Brazil
94,Avril Lavigne,36127,0103c1cc-4a09-4a5d-a344-56ad99a77193,https://www.last.fm/music/Avril+Lavigne,2026-04-19,Brazil
95,BLACKPINK,36119,48646387-1664-4c9a-9139-9bfd091b823c,https://www.last.fm/music/BLACKPINK,2026-04-19,Brazil
96,Queen,36058,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,https://www.last.fm/music/Queen,2026-04-19,Brazil
97,Clairo,35314,d786f59b-1836-4ddb-8393-ab753edbe984,https://www.last.fm/music/Clairo,2026-04-19,Brazil
98,Evanescence,35306,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,https://www.last.fm/music/Evanescence,2026-04-19,Brazil
99,Slipknot,35299,a466c2a2-6517-42fb-a160-1087c3bafd9f,https://www.last.fm/music/Slipknot,2026-04-19,Brazil
100,Jennie,35020,d32de3a1-01f0-430e-859a-72307724041c,https://www.last.fm/music/Jennie,2026-04-19,Brazil
101,Laufey,34712,21a89505-10a9-4ac0-8388-833bc07b9f86,https://www.last.fm/music/Laufey,2026-04-19,Brazil
102,Daniel Caesar,33900,b46e298d-d3a5-4695-a03e-63e8c523b23e,https://www.last.fm/music/Daniel+Caesar,2026-04-19,Brazil
103,One Direction,33682,1a425bbd-cca4-4b2c-aeb7-71cb176c828a,https://www.last.fm/music/One+Direction,2026-04-19,Brazil
104,Calvin Harris,33384,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,https://www.last.fm/music/Calvin+Harris,2026-04-19,Brazil
105,Black Eyed Peas,33351,d5be5333-4171-427e-8e12-732087c6b78e,https://www.last.fm/music/Black+Eyed+Peas,2026-04-19,Brazil
