uri,track_name,artist_names,release_date,release_date_precision
spotify:track:1JUmsSEfVwhdJCVBG83XGU,SEQUÊNCIA FEITICEIRA,"PEDRO SAMPAIO, Mc Gw, Mc Jhey, Mc Rodrigo do CN, MC Nito",2025-11-18,day
spotify:track:3lKOC96UdjCG47HZDJVyih,Saudade Proibida - Ao Vivo,Simone Mendes,2025-12-11,day
spotify:track:4H9ZFTGkTG8Frqhqsxrgrs,Músicas de amor nunca mais,"BK, Luccas Carlos, Nansy Silvvz, Gigantes",2022-11-17,day
spotify:track:2kd04YGxY6v8t4HYztOHn7,Quem Que Tá,"CountryBeat, Ana Castela",2026-02-19,day
spotify:track:4QZqSqxdcgAbtZle4MS4ph,Retrovisor,Gusttavo Lima,2025-08-13,day
spotify:track:69sdOLKjgnwdA2smmct2a9,Santo Pra Sempre - Ao Vivo,Gabriel Guedes de Almeida,2023-02-13,day
spotify:track:69reWZKMmkwA7x27jBNK1Z,Tudo É Perda - Ao Vivo,Felipe Rodrigues,2025-11-25,day
spotify:track:5wTHqpJDnoGW562HQW1BmC,TENTAR SER BREVE 🤷🏾‍♀️,"KayBlack, Vulgo FK, Veigh, Fepache, Galdino, H4lfmeasures, Honaiser",2025-11-25,day
spotify:track:7qjZnBKE73H4Oxkopwulqe,back to friends,sombr,2025-08-22,day
spotify:track:7jCgslBhuPF61B6yk90VYb,Sexta Feira Hoje Tem,"MC Ryan SP, Mc IG, DJ Japa NK, Nilo, Boladin 211, MC LUUKY, Mc Negão Original",2025-01-10,day
spotify:track:1Nmcs8zk7LfcvHRgLtTM5J,Amor de Fim de Noite,"Orochi, Papatinho",2020-03-27,day
spotify:track:1scDyegujPu9CK2d6PTYgk,Silêncio,"Toca Aquela, Breno Major, Mariana Fagundes, Thauane",2025-12-04,day
spotify:track:3lyolTZROCL7dY6kv2RawB,Vida de Cão / Ponto Final - Ao Vivo,"Murilo Huff, Natanzinho Lima",2025-12-04,day
spotify:track:0jDBq8sXPh28uWmLeYwPQk,Sofro e Não Nego,Gusttavo Lima,2025-08-13,day
spotify:track:6ATNNv8tZF61fa7VwDH89j,O Fogo Arderá - Ao Vivo,Alexsander Lucio,2024-11-11,day
spotify:track:2De1EHbIhepIVLHZ16bySE,Talvez você precise de mim,"Veigh, Supernova Ent",2025-06-26,day
spotify:track:0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,2016-11-18,day
spotify:track:0RTv8p21Oeav1EztMQ5Xbt,Todo Mundo Menos Eu - Ao Vivo,"Hugo & Guilherme, Ana Castela",2025-12-18,day
spotify:track:4TvVqX9HOMTvDJXYHxHbq7,Errado o Triplo (Ôh Perigo) - Ao Vivo,Diego & Victor Hugo,2026-01-29,day
spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,2024-04-05,day
spotify:track:6J5kc12BW5HuP3d7C3vvx8,EoO,Bad Bunny,2025-01-05,day
spotify:track:0rosNwHC9T8YNu3EvXLPfX,Me Bloqueia (Ao Vivo),Ferrugem,2024-04-18,day
spotify:track:3yWuTOYDztXjZxdE2cIRUa,Opalite,Taylor Swift,2025-10-03,day
spotify:track:2ThEetsRrVOEoCNpoFVDjM,Melhor Me Bloquear - Ao Vivo,Felipe e Rodrigo,2024-10-11,day
spotify:track:4VNRWHoiKHZJIoQHPbmJIv,Gosta De Rua - Ao Vivo,Felipe e Rodrigo,2024-05-03,day
spotify:track:4V2rUOmaevK0C1bKAkeFf5,Eu Te Seguro - Ao Vivo,"Panda, MJ Records",2025-10-23,day
spotify:track:4SHKz1SM7aikyK9WLAuN1J,Tarde Demais / Mágica / Oh! Chuva - Ao Vivo,Grupo Menos É Mais,2025-10-16,day
spotify:track:5lKHrBigpyKZM6uMvbOGh2,"Sorri, Sou Rei (feat. Claudia Leitte)","Natiruts, Claudia Leitte",2009-07-01,day
spotify:track:6s1kzj4EbhFLXbuAGJbhbn,Barbie,"MC Tuto, DJ Glenner",2024-10-18,day
spotify:track:6kaWah1Acn1dtNjAy6sm1p,Diário de um Cafajeste,"DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original",2025-11-06,day
spotify:track:5idoEzfTCyO7mmaUKUWY3i,O BAIANO TEM O MOLHO,"O Kannalha, Coruja Gravações",2025-02-21,day
spotify:track:3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,2022-09-16,day
spotify:track:3wtvX3ujkt8htsyiGE2xRq,Pendências - Ao Vivo,"Kamisa 10, Natanzinho Lima",2025-08-28,day
spotify:track:47j8u38wfvxdQeRA7TBJrB,É Tudo Sobre Você - Ao Vivo,MORADA,2020-05-12,day
spotify:track:4DAzkOviyivt556hQPKgjQ,Valentino,"MC Willian, DJ Japa NK, DJ DAVI DOGDOG",2026-03-13,day
spotify:track:6JKkP9ABQzYZUFSKSVDKIc,Deixe Me Ir (feat. Pablo Martins) - Acústico 1Kilo,"1Kilo, Baviera, Knust, Pablo Martins",2017-03-15,day
spotify:track:2rryVhIBu2bvOz96BjViVV,Corpo Nu - Ao Vivo,"Panda, MJ Records",2026-03-12,day
spotify:track:7cQP81lQ8b9uO0ZC1b5mcB,Mudar Pra Lua - Ao Vivo,"Guilherme & Benuto, Xand Avião",2025-12-03,day
spotify:track:3JojUdNlifAfB5J9dLvJ9H,Tubarões - Ao Vivo,Diego & Victor Hugo,2025-11-20,day
spotify:track:2lo5afNLtDsgZl0rwvpx0u,Exagerado - Ao Vivo,Michel Teló,2025-06-12,day
spotify:track:6YAK1Sle1Wl7jOurqwWCfh,MONTAGEM CAMERA LENTA,"DJ DUARTE, DJ ORBITAL, Dj Rs",2025-10-10,day
spotify:track:5ntUQs7jxnUH8SukZy4830,Meu Jeito de Amar / Final de Tarde - Ao Vivo,"Vitor Limma, Yan",2025-08-15,day
spotify:track:7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,Guns N' Roses,1987-07-21,day
spotify:track:5q6p93gOrBy5dRkxOAylJ4,Carmed Chocolate,"Pedro Paulo & Alex, Diego & Victor Hugo",2025-09-25,day
spotify:track:17tg01y3RhlfRKMnd333yL,Apaga Apaga Apaga - Ao Vivo,Danilo e Davi,2024-08-09,day
spotify:track:4m3nNqcqRDefROgesL4rAG,Pique Anos 80,"Kaue Mc, WR Original, DJ CLEBER, DJ LP Malvadão",2026-01-16,day
spotify:track:2KGv51jgAz8OTjNPyRryfq,Pra Sempre Com Você - Ao Vivo,Jorge & Mateus,2016-02-19,day
spotify:track:6fPALIGFkjmlHKuiiZLRl6,Foi assim,"Sotam, Rob",2025-09-16,day
spotify:track:7qqixxBvZIGSep53Eh2o0b,Gauchinha,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY",2025-12-17,day
spotify:track:118oqjHKS0amJfPLi9LoEZ,Eu Só Quero Você,"AgroPlay, Ana Castela, Zé Felipe",2025-12-11,day
spotify:track:57QuZKqQD399jk0PBzolHY,Cantada - Ao Vivo,Luan Santana,2025-12-18,day
spotify:track:4B4Q7zfd0aHcuhQBfCRnH5,NORMAL,BTS,2026-03-20,day
spotify:track:6a5RR2DHmUCFyr3CCpItwA,Pretin,"Zé Felipe, Bellagi",2026-01-29,day
spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,Diego & Victor Hugo,2021-07-29,day
spotify:track:6Kyl2nFgU0J8WBlbBvDv6g,Coração Partido (Corazón Partío) - Ao Vivo,Grupo Menos É Mais,2024-11-14,day
spotify:track:1ZNolq7VI7efGlh2hb2VVr,Into the Sun,BTS,2026-03-20,day
spotify:track:5XrvlJDg5VDxf8ezkBjUKy,Enquanto Houver Razões - Ao Vivo,Jorge & Mateus,2012-10-15,day
spotify:track:2M6M1f5SVQqamxeyItWZxo,Era Sol Que Me Faltava,"AgroPlay, Ana Castela, CountryBeat",2025-12-10,day
spotify:track:4HQByPPgZOGbzvgJFZX61K,O Alvo (feat. Henrique & Juliano) - Ao Vivo,"Diego & Victor Hugo, Henrique & Juliano",2018-07-13,day
spotify:track:392sOlpw4k1moGsIvkSqtP,Esquina,Felipe e Rodrigo,2026-03-26,day
spotify:track:19QGIdhhRCB303eGVUQyZM,Auto-reverse,O Rappa,2013-08-15,day
spotify:track:0KeleEbdg0RSmOW4YlBfAL,Depois do Furacão,Enzo Rabelo,2026-01-08,day
spotify:track:29DLL9iGJZFwtGyubk5g9v,Eu Até Gosto de Você,"Mc Jacaré, Mc Negão Original, DJ Japa NK",2025-11-21,day
spotify:track:7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga, Bruno Mars",2025-03-07,day
spotify:track:7hgKeJgEQyjl6JcpudzvzU,Cacos De Vidro (sample: Esperar pra Ver),"BK, Kolo, Evinha",2025-01-28,day
spotify:track:7v0E4vICpUMib96KCNCabC,Pedindo a Conta - Ao Vivo,"Turma do Pagode, Zeca Pagodinho",2026-01-08,day
spotify:track:58etYboXC3fk4jBQQNI1WC,Volte Amor - Ao Vivo em Linhares,"Zé Elias, Gusttavo Lima",2026-03-13,day
spotify:track:44CTudFZ0kbaIF9n0jk7oU,Ilusão De Ótica - Ao Vivo,"Matheus & Kauan, Ana Castela",2025-03-14,day
spotify:track:1I6TdHxz61Kf9EFje0dQvg,OLHO MARROM - Ao Vivo em Lisboa,Luan Santana,2025-10-03,day
spotify:track:2Z1DmmPWD3Lm0dWAxMfjxG,Pirocada Quente,"MC Jvila, Mc Negão Original, DJ Dael, DJ Guh Mix",2025-01-28,day
spotify:track:5k7JSycp97vL45zSOoUsTE,Seja Ex - Ao Vivo,Henrique & Juliano,2024-12-13,day
spotify:track:0qZwqMsGSClyrKzbVbRto9,Vai Cair Água - Ao Vivo,"Diego & Arnaldo, Zé Neto & Cristiano",2025-08-21,day
spotify:track:4mWvUyxAax81We11pYY4up,Semi Nua 2,"Mc Iguinho Ct, Mc Negão Original, Aaron Modesto, Mc Dena, MC GP, MC Ryan SP, MC Willian, DJ Guh Mix, DU'L, MC RN do Capão, Marquinho no Beat",2026-03-02,day
spotify:track:4EgmDb4tXeICXOeVnfgd4u,FAZ 360 E SENTA,"DJ JHOW BEATS, Lindão, MC Menor MT, Resumo Produtora",2025-07-11,day
spotify:track:1qyiBNYS01TjMkmoeTLJXN,A Morte do Autotune,Matuê,2018-12-24,day
spotify:track:3plyGpDgzfrnZbpElpfioV,No. 29,BTS,2026-03-20,day
spotify:track:4GvuFO1fp1vVILm9DeSGW6,Buquê de Bebida - Ao Vivo,Danilo e Davi,2025-09-25,day
spotify:track:0VlRvd4TWCFU6qhgfLiAjk,Férias em Salvador - Ao Vivo,"Fernando & Sorocaba, Léo Foguete",2025-11-13,day
spotify:track:5RJubPh66tvUWCBoJ1GwEY,Morena Jambo - Ao Vivo,"Matheus Fernandes, Felipe Amorim",2025-11-27,day
spotify:track:58lPXPuE7deTicTvsdvVbL,Esse Cupido Não Me Ajuda,"Dexhenry, DJ QUIRINO, Yuri Redicopa, Ascending",2025-11-24,day
spotify:track:2cIvKoAOC7w5eltdvf9ZXP,Pique Anos 80,"Kaue Mc, WR Original, DJ CLEBER, DJ LP Malvadão",2026-01-16,day
spotify:track:4tYCyoSpv0Ujpfwcneb02l,Posso Até Não Te Dar Flores,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",2025-09-11,day
spotify:track:2o2xhyri4aJUtgMGkf5P0J,Lisboa,"ANAVITÓRIA, Lenine",2021-01-01,day
