artist_name,spotify_id,followers,popularity,genres,source,occurrence_count,youtube_channel_id,total_youtube_views,extraction_date,selection_criteria
Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,33037029,85,sertanejo; sertanejo universitário; arrocha,Charts Q1 2026,26,UCt8Ihy3hj9uHGXKTpO214AQ,35897481,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Aaron Modesto,48yaM25WLHmQZXx5NN3DYH,41071,68,brazilian funk; trap funk; funk consciente,Charts Q1 2026,25,UCwqWmR0tq4N09hGmFe_RhuA,31117592,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Mc Morena,28QnIZpWxKcxuSk4iRLUgX,54598,69,brega funk; brazilian funk; funk de bh,Charts Q1 2026,24,UC0AUrSRcHHNqD3Hjd0WRrGQ,24355491,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Melk Villar,2aE9MDAGfmKUGmTTKWjKCn,75339,58,gospel; brazilian gospel; música adventista,Charts Q1 2026,24,UCQev0NZKxfk6kfApriTtXEg,13406956,2026-04-18,Persistência temporal 3 meses × 2 plataformas
DJ Guh Mix,3zG4hHVlA4xIX5jwvOa2KD,236755,74,brazilian funk; trap funk; funk consciente,Charts Q1 2026,25,UCqoPpwkIoj0x4ZGxpef4dxg,10261272,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Marquinho no Beat,4Z9aFsrQeXQbKIOryEkfqe,137575,70,trap funk; brazilian trap; trap,Charts Q1 2026,25,UCPZO9411ipEHUFgpz5MiHJg,8880328,2026-04-18,Persistência temporal 3 meses × 2 plataformas
DJ GORDINHO DA VF,2isWi9fP3idxCaGPPEelEQ,28627,68,brazilian funk; funk carioca,Charts Q1 2026,26,UCH98dvdKOgM3hxLGzbg4Cgg,6487150,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Bvga Beatz,7saGN6a32YNpiMPo2SWJxE,68705,69,brazilian trap; trap funk; trap,Charts Q1 2026,22,UCs--Ay5z41kCOYfjZnX9kDQ,5440797,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Mc Rodrigo do CN,54bV1pHNm5h5EcEgMis1RC,355902,77,brazilian funk; funk de bh; funk carioca,Charts Q1 2026,26,UC-lcDCyPjsVCP2UD6VUTCNg,3732413,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Mc Jhey,34giN3qeTOdgDSJIdtIMdm,521543,71,phonk; brazilian funk; brazilian phonk,Charts Q1 2026,26,UCLChJKlCDOSNF6spVyYBOUA,3631238,2026-04-18,Persistência temporal 3 meses × 2 plataformas
DJ DAVI DOGDOG,5ffbqOCrcxCejQ7oqfWXm9,150670,75,brazilian funk; trap funk,Charts Q1 2026,26,UCz6XCeCW4ylz9ZXiMtyiTDA,950727,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Boladin 211,2xOLGU5UNLV3KQSFteF8ZW,784650,70,brazilian funk; trap funk; funk de bh,Charts Q1 2026,24,UCEi7ONGz-YFzCY5QHkLpriw,866987,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Vinicius Cruz,0cb8UlJzotLRPM0L0wfm4V,11686,62,gospel; brazilian gospel; worship,Charts Q1 2026,24,UCnUhIMaO7DZ6SeG0rpWYIxw,213867,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Dj Andrabeat,1Zg9Zp2NMNIBUiazqAHr1C,47525,65,brazilian funk,Charts Q1 2026,26,UC-u_hX-8-spLJfiVv9EKWvw,179447,2026-04-18,Persistência temporal 3 meses × 2 plataformas
DJ Kaioken,1aQbanZ6xPrOtTYtsMdm3Q,5766,55,brazilian funk,Charts Q1 2026,24,UCwdrzGxWtdFnRLE9Y_qL7kg,20796,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Torelli,5JXS7XaVoUTFBUHaS4RMxu,590,60,,Charts Q1 2026,22,UCQLJVZ39YBRISh90E9OD1fQ,2081,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Dj Felipe Maia,5xtHPJpaKmn16wr3JNA0na,15038,55,brazilian funk; trap funk; funk consciente,Charts Q1 2026,24,UCrZUElHVGsknUMR0thmT9XA,980,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Gubeatz,3onpHCaIChS7saQn7fYncx,13307,60,brazilian funk; funk consciente; trap funk,Charts Q1 2026,24,UC9xYyYTskg1ql8ZrkC8wmMw,920,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Mc Jacaré,6qrqAYlS6lUj2BVXax7SZW,1447471,77,brazilian funk; funk carioca; trap funk,Charts Q1 2026,26,UChvojIOJtKDr992R1qNm5fQ,17,2026-04-18,Persistência temporal 3 meses × 2 plataformas
